IDX,NSTRT,ESTRT,REPORT_NO,TYPE,INJA,INJB,INJC,INJK,DIST,DIR,PRI,U1ACT,TCD,SURF,LITE,AC_DATE,AC_TIME,DIRU1,DIRU2,YEAR,INTRSECT,ID,intersection,lat_long
154,EASTHOLME AVE,EMPIRE ST,20140006,2,0,0,0,0,0,,Y,99,2,1,2,1/3/2014,3:15 PM,N,N,2014,Y,669,intersection of EASTHOLME AVE and EMPIRE ST,"[40.48831819999999, -88.9803274]"
155,PROSPECT RD,ELDORADO RD SOUTH,20140017,2,0,0,0,0,60,E,Y,1,1,1,1,1/4/2014,7:30 PM,NE,SE,2014,N,471,intersection of PROSPECT RD and ELDORADO RD SOUTH,"[40.4742158, -88.9502491]"
156,MAIN ST,R T DUNN DR,20140201,2,0,0,0,0,0,,N,1,1,1,1,1/30/2014,4:30 PM,S,S,2014,Y,1578,intersection of MAIN ST and R T DUNN DR,"[40.4602899, -88.9930053]"
157,CLINTON ST,LOCUST ST,14-45717,2,0,0,0,0,0,,Y,1,1,1,1,3/30/2014,11:17 AM,N,E,2014,N,165,intersection of CLINTON ST and LOCUST ST,"[40.4847097, -88.9847165]"
158,PRAIRIE ST,WASHINGTON ST,14-44522,2,0,0,0,0,0,,N,1,3,1,4,4/12/2014,2:54 AM,W,NW,2014,Y,1106,intersection of PRAIRIE ST and WASHINGTON ST,"[40.4796281, -88.9909237]"
159,GRIDLEY ST,OAKLAND AVE,14-40522,2,0,0,0,0,0,,N,3,2,1,1,5/4/2014,12:48 PM,S,W,2014,Y,241,intersection of GRIDLEY ST and OAKLAND AVE,"[40.4737946, -88.98983249999999]"
160,GETTYSBURG DR,ARROWHEAD DR,14-40930,2,1,0,0,0,0,W,N,1,2,6,1,5/20/2014,5:27 PM,N,,2014,Y,297,intersection of GETTYSBURG DR and ARROWHEAD DR,"[40.493327, -88.9454202]"
161,MERCER AVE,VETERANS PKWY,14-47323,2,0,0,1,0,0,E,N,12,3,1,5,5/25/2014,9:35 PM,SW,NE,2014,Y,99,intersection of MERCER AVE and VETERANS PKWY,"[40.4610154,-88.9625101]"
162,MASON ST,FRONT ST,14-42923,2,0,0,1,0,0,N,N,4,2,1,1,5/27/2014,8:55 AM,SW,E,2014,Y,219,intersection of MASON ST and FRONT ST,"[40.4786081, -88.9995325]"
163,MAIN ST,STEWART ST,14-46716,2,0,0,1,0,0,E,N,8,2,1,1,6/3/2014,8:27 AM,E,SW,2014,Y,1553,intersection of MAIN ST and STEWART ST,"[40.4648825, -88.99301969999999]"
164,CATHERINE ST,MARKET ST,14-51114,2,0,0,2,0,100,S,N,1,1,1,1,6/11/2014,4:49 PM,W,S,2014,Y,998,intersection of CATHERINE ST and MARKET ST,"[40.4821786, -89.00327340000001]"
165,ALLIN ST,WALNUT ST,14-45328,2,0,1,0,0,0,,Y,1,1,1,1,6/19/2014,3:52 PM,W,E,2014,N,759,intersection of ALLIN ST and WALNUT ST,"[40.4865891,-89.0021035]"
166,LANGS ALLEY,JACKSON ST,14-45333,2,0,1,0,0,0,,N,1,1,1,1,7/27/2014,2:50 PM,N,E,2014,Y,1054,intersection of LANGS ALLEY and JACKSON ST,"[40.475045, -89.003582]"
167,I A A DR,VERNON AVE,14-52528,2,1,0,0,0,200,W,N,1,1,1,1,8/31/2014,5:23 PM,W,N,2014,N,621,intersection of iaa DR and VERNON AVE,"[40.5027286,-88.954427]"
168,CENTER ST,FRONT ST,14-48550,2,0,0,0,0,0,,N,1,3,1,1,9/8/2014,2:40 PM,S,W,2014,Y,1112,intersection of CENTER ST and FRONT ST,"[40.4786666, -88.99550070000001]"
169,EAST ST,FRONT ST,14-46332,2,0,1,0,0,0,,N,1,3,1,5,9/26/2014,7:48 PM,W,N,2014,Y,1110,intersection of EAST ST and FRONT ST,"[40.47872230000001, -88.9926296]"
170,CENTER ST,EMERSON ST,14-40766,2,0,0,1,0,0,,N,4,3,1,1,9/29/2014,2:00 PM,S,E,2014,Y,720,intersection of CENTER ST and EMERSON ST,"[40.4933798, -88.9951559]"
171,ROBINSON ST,OAKLAND AVE,14-44570,2,0,1,0,0,0,,N,1,2,1,1,10/17/2014,11:32 AM,E,S,2014,Y,266,intersection of ROBINSON ST and OAKLAND AVE,"[40.4740842, -88.98258179999999]"
172,OAK ST,MONROE ST,14-47370,2,1,0,0,0,0,,N,99,99,1,1,11/11/2014,3:38 PM,W,,2014,N,1081,intersection of OAK ST and MONROE ST,"[40.4811839, -88.99859500000001]"
173,KENNETH DR,LISA DR,14-49940,2,0,1,0,0,5,W,N,4,2,1,1,12/9/2014,2:15 PM,NE,N,2014,Y,359,intersection of KENNETH DR and LISA DR,"[40.4967857, -88.9282825]"
174,CENTER ST,MARKET ST,14-42954,2,0,1,0,0,0,,N,99,3,1,1,9/23/2014,8:01 AM,,S,2014,Y,1076,intersection of CENTER ST and MARKET ST,"[40.4823471, -88.99473619999999]"
175,LOW ST,BISSELL ST,15-45940,2,0,0,0,0,0,,N,15,4,1,1,3/30/2015,3:15 PM,W,N,2015,N,1512,intersection of LOW ST and BISSELL ST,"[40.4673879, -88.9995534]"
176,MAIN ST,EMPIRE ST,15-61714,2,0,1,0,0,0,,N,1,3,1,1,4/8/2015,4:48 PM,E,N,2015,Y,183,intersection of MAIN ST and EMPIRE ST,"[40.4881458, -88.9940067]"
177,MAIN ST,OLIVE ST,15-56337,2,0,0,1,0,0,,N,3,3,1,5,4/18/2015,5:00 AM,E,W,2015,Y,1127,intersection of MAIN ST and OLIVE ST,"[40.4770829, -88.9932098]"
178,ALLIN ST,JEFFERSON ST,15-56344,2,0,0,0,0,0,,N,1,1,1,1,5/6/2015,6:10 PM,W,N,2015,Y,1005,intersection of ALLIN ST and JEFFERSON ST,"[40.4802789,-89.0017061]"
