NSTRT,ESTRT,REPORT_NO,TYPE,INJA,INJB,INJC,INJK,DIST,DIR,PRI,U1ACT,TCD,SURF,LITE,AC_DATE,AC_TIME,DIRU1,DIRU2,YEAR,INTRSECT,ID
WYLIE DR,MARKET ST,20021878,2,0,2,0,0,0,,N,1,3,1,1,8/30/2002,1:03 AM,S,E,2002,,776
CLINTON ST WEST,OAKLAND AVE,20021871,2,1,0,0,0,0,,N,3,3,1,1,8/29/2002,6:48 PM,SE,SE,2002,,268
MCLEAN ST,FRONT ST,20021683,2,0,1,0,0,0,,N,3,1,9,1,8/7/2002,8:30 AM,E,W,2002,,234
MAIN ST,MILLER ST,20021667,2,0,1,0,0,0,,N,99,2,9,1,8/4/2002,6:32 PM,S,NE,2002,,1495
MASON ST,MARKET ST,20021639,2,0,0,1,0,0,,N,3,1,1,1,7/30/2002,7:56 PM,S,W,2002,,214
ALLIN ST,MONROE ST,20021584,2,0,0,0,0,0,,N,15,2,1,1,7/25/2002,5:30 PM,W,S,2002,,1004
CAROLINE ST,MARKET ST,20021580,2,0,1,0,0,125,S,N,20,1,1,1,7/24/2002,6:25 PM,N,E,2002,,839
CENTER ST,CHESTNUT ST,20020222,2,0,1,0,0,100,W,N,1,1,2,3,1/30/2002,4:56 PM,W,N,2002,,766
PROSPECT RD,EASTLAND DR,20020077,2,0,0,0,0,0,,N,99,2,1,1,1/9/2002,5:00 PM,E,S,2002,,535
CENTER ST,EMPIRE ST,20022269,2,0,0,1,0,0,,N,1,3,1,1,10/22/2002,12:00 PM,S,E,2002,Y,750
REGENCY DR,OAKLAND AVE,20022293,2,0,0,0,0,0,,N,1,3,1,1,10/25/2002,1:45 PM,N,W,2002,Y,272
ERICKSON AVE,INDIANA AVE,20022181,2,1,0,0,0,100,,N,23,1,1,1,10/10/2002,4:44 PM,E,S,2002,N,913
CLINTON ST,CHESTNUT ST,20030571,2,0,1,0,0,100,S,Y,23,1,1,1,3/14/2003,3:58 PM,N,W,2003,N,677
SOUTHGATE ESTATES TRAILER,TRAILER COURT,20030791,2,0,1,0,0,30,E,Y,1,1,1,1,4/19/2003,1:30 PM,N,E,2003,N,1631
LANGS ALLEY,OAKLAND AVE,20031050,2,0,0,0,0,0,,N,24,1,1,5,5/21/2003,8:30 PM,NW,W,2003,Y,1056
HERSHEY RD,RAINBOW AVE,20031177,2,0,0,0,0,200,N,Y,1,1,1,1,6/5/2003,3:00 PM,N,W,2003,N,318
MOBILE LAND,TRAILER COURT,20031354,2,1,0,0,0,0,,Y,23,1,1,3,7/2/2003,9:15 PM,N,N,2003,N,984
MAIN ST,BEECHER ST,20031466,2,0,0,0,0,100,N,Y,20,1,1,1,7/18/2003,4:25 PM,W,S,2003,N,191
CENTER ST,WOOD ST,20031469,2,0,0,0,0,5,N,Y,1,1,1,5,7/18/2003,8:21 PM,S,W,2003,N,1467
CLAYTON ST,OAKLAND AVE,20031593,2,0,0,1,0,0,,N,15,2,1,1,8/3/2003,1:57 PM,N,E,2003,Y,269
MAIN ST,MACARTHUR AVE,20031890,2,0,0,1,0,0,,N,1,2,1,1,9/12/2003,12:55 PM,E,S,2003,Y,1451
MADISON ST,LOCUST ST,20032067,2,0,0,0,0,0,,N,1,1,1,1,10/2/2003,5:15 PM,N,W,2003,Y,197
MCLEAN ST,LOCUST ST,20032409,2,0,0,0,0,0,,N,1,2,1,5,11/19/2003,7:15 PM,S,W,2003,Y,177
MORRIS AVE,MARKET ST EAST,20032434,2,0,1,0,0,0,,N,1,3,1,5,11/21/2003,8:43 PM,N,E,2003,Y,1000
VETERANS PKWY,WASHINGTON ST,20040591,2,1,0,0,0,0,,N,1,3,2,5,3/14/2004,4:41 AM,W,N,2004,Y,142
GRANDVIEW ESTS TRAILER CT,TRAILER COURT,20041217,2,0,1,0,0,50,E,Y,23,1,1,1,6/6/2004,8:01 PM,N,S,2004,N,991
ALLIN ST,OAKLAND AVE,20041234,2,1,0,0,0,0,,N,1,2,2,1,6/10/2004,9:05 AM,N,W,2004,Y,227
MAIN ST,LAFAYETTE ST,20041420,2,0,0,0,0,0,,N,1,2,1,1,7/5/2004,6:40 PM,S,E,2004,Y,1567
RYAN DR,CLOUD ST,20041422,2,0,1,0,0,0,,N,1,2,1,1,7/7/2004,8:15 AM,N,E,2004,Y,1349
WILLIAMSBURG DR,WASHINGTON ST,20041467,2,0,0,0,0,0,,N,1,2,1,1,7/12/2004,7:00 AM,S,E,2004,Y,388
OAK ST,MARKET ST,20041494,2,0,1,0,0,0,,N,1,2,1,1,7/15/2004,5:27 PM,W,S,2004,Y,1080
MAIN ST,MACARTHUR AVE,20041553,2,1,0,0,0,0,,N,3,2,1,1,7/23/2004,6:40 AM,N,W,2004,Y,1451
ERICKSON AVE,ILLINOIS AVE,20041596,2,1,0,0,0,1320,W,N,23,1,1,1,7/25/2004,6:45 PM,N,E,2004,N,903
ALLIN ST,WOOD ST,20041637,2,1,0,0,0,0,,N,99,2,1,1,8/4/2004,6:30 PM,S,W,2004,Y,1460
LIVINGSTON ST,TOKIO ST,20041826,2,0,1,0,0,0,,N,4,1,1,1,8/30/2004,9:30 AM,SW,E,2004,Y,942
LEE ST,CHESTNUT ST,20041876,2,0,0,1,0,100,E,N,99,1,1,4,9/4/2004,8:15 PM,E,E,2004,N,769
ALEXANDER RD,BUTCHERS LN,20041878,2,1,0,0,0,0,,N,1,2,1,3,9/5/2004,7:10 PM,W,N,2004,Y,939
R T DUNN DR,LAFAYETTE ST,20041943,2,0,0,0,0,0,,N,1,12,1,4,9/16/2004,11:07 PM,E,W,2004,Y,1828
ROOSEVELT AVE,GRAHAM ST,20042024,2,0,0,1,0,0,,N,7,2,1,4,9/27/2004,8:38 PM,E,N,2004,Y,738
EAST ST,OLIVE ST,20042560,2,0,0,0,0,60,W,N,1,1,1,5,12/3/2004,11:38 PM,E,N,2004,N,1126
MORRISSEY DR,VETERANS PKWY,20050756,2,0,0,0,0,0,,N,1,3,1,1,4/6/2005,7:00 AM,W,N,2005,Y,97
REGENCY DR,WASHINGTON ST,20050961,2,0,1,0,0,0,,N,4,3,1,5,5/10/2005,8:31 PM,S,E,2005,Y,1240
VETERANS PKWY,JUMER DR,20050973,2,0,1,0,0,500,E,Y,99,1,9,4,5/11/2005,10:34 AM,SW,NW,2005,N,19
LEE ST,JACKSON ST,20051245,2,0,0,0,0,0,,N,1,2,1,1,6/21/2005,3:00 PM,E,N,2005,Y,1148
MORRIS AVE,GROVE ST,20051286,2,0,0,0,0,400,E,Y,99,1,1,1,6/13/2005,1:00 PM,N,N,2005,N,1019
WESTERN AVE,MACARTHUR AVE,20051322,2,1,0,0,0,0,,N,1,2,1,4,7/1/2005,9:15 PM,N,E,2005,Y,917
CLINTON ST,OAKLAND AVE,20051631,2,0,0,0,0,0,,N,1,3,2,1,8/12/2005,3:41 PM,E,N,2005,Y,267
PRAIRIE ST,DOUGLAS ST,20051705,2,0,1,0,0,0,,N,1,2,1,1,8/24/2005,6:50 AM,E,N,2005,Y,1069
OAK ST,BISSELL ST,20051780,2,0,0,0,0,150,S,N,1,1,1,1,9/2/2005,4:50 PM,E,S,2005,N,1514
VETERANS PKWY,EASTLAND DR,20051848,2,0,0,1,0,0,,N,4,3,1,1,9/14/2005,12:01 PM,E,W,2005,Y,137
NORTH POINTE DR,COLLEGE AVE,20052075,2,0,0,0,0,0,,N,1,2,1,1,10/14/2005,8:11 AM,E,S,2005,Y,38
HERSHEY RD,OAKLAND AVE,20052137,2,0,0,0,0,0,,N,1,3,1,1,10/22/2005,4:35 PM,W,N,2005,Y,469
DENVER ST,JACKSON ST SOUTH,20052185,2,0,0,1,0,0,,N,7,2,1,5,10/28/1958,6:03 AM,E,N,2005,Y,261
CLINTON ST,WASHINGTON ST,20060360,2,0,0,0,0,0,,N,1,3,1,1,2/28/2006,5:00 PM,S,NW,2006,Y,1184
OAK ST,WASHINGTON ST,20060758,2,0,0,0,0,0,,N,25,1,1,1,4/20/2006,7:00 PM,S,W,2006,Y,1099
HOWARD AVE,JEFFERSON ST,20060771,2,0,1,0,0,0,,N,1,1,1,1,4/22/2006,7:08 PM,E,E,2006,Y,1006
MAIN ST,R T DUNN DR,20061007,2,0,0,0,0,0,,N,4,3,1,1,5/22/2006,5:45 PM,E,S,2006,Y,1578
MASON ST WEST,MONROE ST,20061279,2,1,0,0,0,200,W,N,12,1,1,4,7/5/2006,10:08 PM,E,W,2006,N,215
ROBINSON ST,LOCUST ST,20061426,2,0,0,0,0,0,,N,1,2,1,1,7/22/2006,7:20 PM,S,E,2006,Y,164
MORRIS AVE,TAYLOR ST,20061492,2,0,1,1,0,60,E,N,25,1,1,1,7/28/2006,6:03 PM,NE,W,2006,N,1031
MAIN ST,WOOD ST,20061543,2,0,0,0,0,0,,N,1,3,1,1,8/4/2006,1:15 PM,N,W,2006,N,1468
MASON ST,LOCUST ST,20062311,2,1,0,0,0,0,,N,1,12,1,1,11/5/2006,4:16 PM,W,S,2006,Y,201
MORRIS AVE,OAKLAND AVE,20062448,2,1,0,0,0,0,,N,1,2,2,1,11/14/2006,4:15 PM,E,N,2006,Y,211
MAIN ST,STEWART ST,20062599,2,0,0,0,0,0,,N,20,1,1,3,10/22/2006,6:00 PM,W,S,2006,Y,1553
BROWN ST,MARKET ST,20070847,2,0,0,1,0,100,W,Y,14,1,1,1,4/22/2007,4:01 PM,W,N,2007,N,841
MADISON ST,WASHINGTON ST,20071034,2,0,0,0,0,100,S,N,25,99,9,1,5/8/2007,4:25 PM,W,N,2007,N,1102
BUNN ST,OAKLAND AVE,20071114,2,0,0,1,0,0,,N,1,3,1,1,5/25/2007,5:57 PM,W,N,2007,Y,265
FELL AVE,EMERSON ST,20071282,2,0,1,0,0,0,,N,9,2,1,1,6/20/2007,7:00 AM,N,W,2007,Y,175
FAIRWAY DR,EMPIRE FRONTAGE RD NORTH,20071483,2,0,1,0,0,0,,N,4,2,9,1,7/16/2007,7:45 AM,S,S,2007,Y,622
COMMERCE PKWY,VETERANS PKWY,20071537,2,0,0,0,1,0,,N,1,3,1,1,7/24/2007,7:20 AM,N,W,2007,Y,96
SADDLEBROOK DR,SABLE OAKS RD,20071701,2,0,1,0,0,0,,N,8,4,1,1,8/11/2007,4:53 PM,E,N,2007,Y,2119
STATE FARM PLZ,WASHINGTON AVE,20071730,2,0,0,0,0,0,,N,4,3,1,1,8/17/2007,3:38 PM,E,SE,2007,Y,2005
MAIN ST,SOUTHGATE TRAILER PARK,20071839,2,0,0,0,0,75,N,Y,1,1,1,5,8/29/2007,10:25 AM,N,N,2007,N,1599
EAST ST,JEFFERSON ST,20072020,2,0,0,1,0,0,,N,4,3,1,1,9/27/2007,9:24 AM,W,S,2007,Y,1092
LEE ST,SEMINARY AVE,20072052,2,0,0,0,0,0,,N,1,2,1,1,9/19/2007,4:57 PM,W,N,2007,Y,726
MAIN ST,VETERANS PKWY,20072129,2,0,0,1,0,0,,N,1,3,1,1,10/13/2007,12:21 PM,N,E,2007,Y,88
MCCLUN ST,OAKLAND AVE,20080870,2,0,0,0,0,0,,N,3,2,1,1,4/11/2008,3:55 PM,S,E,2008,Y,264
LEE ST,MULBERRY ST,20080980,2,0,0,1,0,0,,N,1,2,2,1,5/2/2008,10:11 AM,W,S,2008,Y,1059
ALLIN ST,MONROE ST,20081060,2,0,1,0,0,0,,N,7,2,1,1,5/18/2008,6:51 PM,W,S,2008,Y,1004
MCCLUN ST,OAKLAND AVE,20081094,2,0,0,0,0,0,,N,9,2,9,1,5/20/2008,6:00 PM,S,W,2008,Y,264
HERSHEY RD,OAKLAND AVE,20081365,2,0,1,0,0,0,,N,5,3,1,1,7/1/2008,3:16 PM,N,W,2008,Y,469
COLTON AVE,EMERSON ST,20081490,2,0,0,0,0,0,,N,1,2,1,1,7/22/2008,7:13 PM,W,N,2008,Y,656
MERCER AVE,LINCOLN ST,20081552,2,0,0,0,0,100,E,N,12,2,1,1,7/30/2008,5:36 PM,SW,N,2008,N,1390
MAIN ST,EMPIRE ST,20081573,2,0,1,0,0,0,,N,25,13,1,1,8/1/2008,1:00 PM,W,N,2008,Y,183
BUNN ST,BAKER ST,20081799,2,0,1,0,0,0,,N,3,1,1,1,9/2/2008,7:58 AM,S,S,2008,Y,1548
AIRPORT RD,WISTERIA LN,20081821,2,1,0,0,0,150,E,N,25,1,1,1,9/6/2008,10:56 AM,S,W,2008,N,127
LEE ST,LOCUST ST,20081846,2,0,0,0,0,0,,N,11,2,2,1,9/11/2008,11:35 AM,N,W,2008,Y,199
MAIN ST,SEMINARY AVE,20081993,2,0,0,0,0,0,,N,25,2,1,1,10/1/2008,11:47 AM,S,E,2008,Y,192
MAIN ST,VETERANS PKWY SOUTH,20090321,2,0,0,1,0,0,,N,4,3,2,1,2/5/2009,12:43 PM,E,N,2009,Y,1592
LEE ST,MARKET ST,20090579,2,0,0,0,0,0,,N,1,2,1,1,3/21/2009,5:50 PM,E,S,2009,Y,1079
