AADT,AADT_YR,MARKED_NAM,ROAD_NAME,COUNTY_NAM,HCV,HCV_MU_YR,MU_VOL,SU_VOL,MR_NUMBER,MR_TYPE,INVENTORY,KEY_RT_NBR,POINT_X,POINT_Y
Not Counted, ,0,ESPEY DR,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01000 000540,1000,-88.9294,40.49826
5300,2009,0,RHODES LANE,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01001 000540,1001,-88.9708,40.4514
Not Counted, ,0,SWARTHMORE DR,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01002 000540,1002,-88.9299,40.49759
Not Counted, ,0,ELIZABETH WAY,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01003 000540,1003,-88.9301,40.49834
Not Counted, ,0,ROUNDS ROAD,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01004 000540,1004,-88.9306,40.49962
3050,2009,0,EAGLE CREEK DR,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01005 000540,1005,-88.9216,40.49842
Not Counted, ,0,COPPER CREEK DR,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01006 000540,1006,-88.9212,40.49914
Not Counted, ,0,LONG COVE CT,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01007 000540,1007,-88.9233,40.4998
650,2009,0,CARLENE DR,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01008 000540,1008,-88.926,40.49245
750,2009,0,CORNELIUS,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01008 000540,1008,-88.9208,40.49252
Not Counted, ,0,SMOKEY CT,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01009 000540,1009,-88.9226,40.50368
Not Counted, ,0,STONEY COURT,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01010 000540,1010,-88.9205,40.50509
375,2009,0,THORNWOOD LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01011 000540,1011,-88.9219,40.50626
Not Counted, ,0,PRIVET LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01012 000540,1012,-88.9195,40.50626
Not Counted, ,0,WISTERIA LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01013 000540,1013,-88.9152,40.50773
1600,2009,0,WISTERIA LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01013 000540,1013,-88.9208,40.50737
Not Counted, ,0,BRENNAN LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01014 000540,1014,-88.916,40.50552
Not Counted, ,0,TRUMPET LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01015 000540,1015,-88.9156,40.50441
Not Counted, ,0,LEAFY LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01016 000540,1016,-88.916,40.50662
Not Counted, ,0,CINNAMON LN,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01017 000540,1017,-88.9203,40.50834
Not Counted, ,0,SILVERBERRY CT,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01018 000540,1018,-88.9209,40.50835
Not Counted, ,0,RUSTY LANE,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01019 000540,1019,-88.9188,40.50938
Not Counted, ,0,IRELAND GROVE,MCLEAN,Not Counted, ,Not Counted,Not Counted,0,0,057  01020 000540,1020,-88.9575,40.45921
